,Rank,University,Location,Country,Overall Score,IRN,H-index,Citations Per Paper,Academic Reputation,Employer Reputation
334,334,Georgia State University,Atlanta,United States,63.7,58.9,80.7,87.7,62.9,55.7
335,334,Thammasat University,Bangkok,Thailand,63.7,16.2,51.8,62.1,69.0,66.2
336,334,University of Rochester,Rochester,United States,63.7,47.5,77.3,90.7,63.5,56.5
337,338,Corvinus University of Budapest,Budapest,Hungary,63.6,48.8,51.8,65.2,65.0,66.3
338,338,Hokkaido University,Sapporo,Japan,63.6,53.2,54.0,75.7,63.3,65.2
339,338,University of Aberdeen,Aberdeen,United Kingdom,63.6,55.7,67.4,86.0,59.7,64.9
340,341,Hong Kong Baptist University,Hong Kong,Hong Kong SAR,63.5,27.8,66.3,87.2,64.8,60.7
341,341,Radboud University,Nijmegen,Netherlands,63.5,66.6,78.0,87.5,61.3,57.0
342,341,United Arab Emirates University,Al Ain,United Arab Emirates,63.5,42.2,61.0,69.5,60.8,70.8
343,341,University of Bern,Bern,Switzerland,63.5,60.3,74.2,86.3,60.8,60.3
344,341,University of Florence,Florence,Italy,63.5,65,71.5,84.4,62.7,57.4
345,341,University of Science and Technology of China,Hefei,China (Mainland),63.5,41,57.7,94.2,61.1,65.1
346,341,University of Southern Denmark (SDU),Odense,Denmark,63.5,61.3,71.5,89.5,62.0,57.8
347,341,University of Turin,Turin,Italy,63.5,60.3,69.6,79.6,63.7,58.0
348,341,Western Sydney University,Milperra,Australia,63.5,67.8,73.3,84.1,60.1,61.0
349,350,Jawaharlal Nehru University,New Delhi,India,63.4,33.6,51.8,69.9,73.3,53.3
350,350,Queen's University Belfast,Belfast,United Kingdom,63.4,53.4,69.6,83.0,60.5,63.4
351,350,Technische Universität Berlin (TU Berlin),Berlin,Germany,63.4,58.8,65.1,87.1,59.7,64.1
352,350,University of Naples - Federico II,Naples,Italy,63.4,69.6,63.8,82.1,58.8,65.3
353,354,Mahidol University,Nakhon Pathom,Thailand,63.3,43.4,57.7,72.3,62.6,66.8
354,355,University of Bergen,Bergen,Norway,63.2,56.5,70.6,85.2,67.5,49.7
355,355,University of Granada,Granada,Spain,63.2,69.2,70.6,81.4,63.7,54.9
356,357,Athens University of Economics and Business,Athens,Greece,63.1,24.9,62.4,72.7,65.1,63.8
357,357,Eberhard Karls Universität Tübingen,Tübingen,Germany,63.1,66.7,75.0,87.0,63.3,53.2
358,357,Indian Institute of Technology Kharagpur (IIT-KGP),Kharagpur,India,63.1,37.4,57.7,83.5,63.5,62.8
359,357,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,Brazil,63.1,35.1,55.9,69.0,68.8,58.5
360,357,UNESP,Sao Paulo,Brazil,63.1,34.1,54.0,73.9,64.0,65.9
361,362,Auckland University of Technology (AUT),Auckland,New Zealand,63,45.5,66.3,81.4,63.1,60.4
362,362,Jagiellonian University,Krakow,Poland,63,48.3,62.4,74.2,67.0,56.1
363,362,University of Porto,Porto,Portugal,63,66.9,72.5,83.3,63.8,53.7
364,365,Financial University under the Government of the Russian Federation,Moscow,Russia,62.9,36,49.5,61.4,65.4,67.1
365,365,Universidad Politécnica de Madrid (UPM),Madrid,Spain,62.9,58.1,61.0,81.6,53.0,75.9
366,365,University of Leicester,Leicester,United Kingdom,62.9,62.6,71.5,82.0,63.0,55.8
367,368,Albert-Ludwigs-Universitaet Freiburg,Freiburg im Breisgau,Germany,62.8,55.8,68.5,86.5,66.1,51.2
368,368,American University of Sharjah,Sharjah,United Arab Emirates,62.8,31.4,57.7,69.6,61.1,70.3
369,368,Emory University,Atlanta,United States,62.8,54,82.5,89.9,61.7,54.5
370,368,"Goldsmiths, University of London",London,United Kingdom,62.8,38.9,75.8,87.8,66.1,51.9
371,368,Indian Institute of Technology Madras (IITM),Chennai,India,62.8,19.7,51.8,73.7,65.1,66.1
372,368,Rice University,Houston,United States,62.8,29.4,70.6,86.8,64.6,57.3
373,368,Universidad de Santiago de Chile (USACH),Santiago,Chile,62.8,29.8,54.0,63.7,67.3,62.8
